Listing_ID,Location,Locality,BHK,Size,Price,Bathroom,Balcony,Furnishing,Transaction,Seller_Type,Listing_Date
MB100752,Kolkata,Salt Lake,3,1684.0,10524450.0,3.0,1.0,Furnished,Resale,Owner,2024-11-04
MB100547,Delhi NCR,Gurgaon,3,1173.0,13194969.0,3.0,1.0,Semi-Furnished,New,Broker,2025-02-06
MB100680,Delhi NCR,Dwarka,3,963.0,10426863.0,2.0,4.0,Furnished,New,Builder,2023-03-16
MB100636,Ahmedabad,Bopal,1,379.0,2326490.0,,,,Resale,Builder,2024-10-25
MB101384,Bangalore,Electronic City,3,1249.0,14689837.0,3.0,2.0,Semi Furnished,New,Owner,2023-11-18
MB100234,Jaipur,Vaishali Nagar,4,1734.0,9473754.0,3.0,2.0,Furnished,Resale,Builder,2025-08-31
MB100942,Ahmedabad,Gota,1,350.0,2297092.0,1.0,2.0,Semi-Furnished,New,Builder,2023-01-12
MB100784,Hyderabad,Banjara Hills,3,350.0,3464093.0,3.0,1.0,Furnished,Resale,Builder,2025-03-01
MB100871,Delhi NCR,Dwarka,3,1618 sqft,15729906.0,3.0,1.0,Semi-Furnished,Resale,Broker,2025-02-26
MB100791,Delhi NCR,Noida,3,1809.0,25775506.0,3.0,1.0,Unfurnished,Resale,Builder,2024-09-01
MB100338,Pune,Hinjewadi,2,1324 sqft,13362312.0,3.0,4.0,Semi-Furnished,Resale,Owner,2023-08-02
MB101172,Ahmedabad,SG Highway,2,923.0,4819371.0,2.0,2.0,Unfurn.,New,Builder,2023-08-17
MB100333,Kolkata,Howrah,5,2524.0,17185919.0,3.0,1.0,Unfurnished,New,Builder,2025-07-07
MB100645,Lucknow,Vrindavan Yojana,4,1739.0,12126770.0,3.0,0.0,Unfurnished,Resale,Owner,06/04/2023
MB100579,Delhi NCR,Gurgaon,3,2143.0,25957167.0,4.0,1.0,Unfurn.,New,Owner,2025-01-10
MB100086,Chennai,Velachery,2,832 sqft,7781739.0,2.0,0.0,Furnished,New,Broker,2024-10-05
MB101114,Kolkata,Rajarhat,1,693.0,5639412.0,1.0,3.0,Furnished,New,Builder,2025-03-06
MB100400,Lucknow,Indira Nagar,3,1516.0,7633358.0,3.0,3.0,Unfurnished,New,Broker,2025-08-05
MB100372,Mumbai,Powai,2,1601 sqft,49190051.0,3.0,1.0,Semi-Furn.,Resale,Builder,2025-02-01
MB101430,Pune,Viman Nagar,3,1052.0,6185055.0,3.0,1.0,Unfurnished,New,Broker,2023-08-02
MB101291,Hyderabad,Kukatpally,4,2182.0,44522837.0,3.0,1.0,Furnished,New,Broker,2024-10-04
MB100481,Jaipur,Jagatpura,3,1570.0,12178777.0,,,Furnished,Resale,Broker,08/08/2024
MB100057,Pune,Hinjewadi,1,794.0,8912906.0,1.0,0.0,Furnished,Resale,Owner,2023-10-27
MB100074,Pune,Hinjewadi,5,2675.0,27334180.0,4.0,1.0,Unfurnished,Resale,Builder,2024-02-18
MB100156,Kolkata,Rajarhat,3,1795.0,14641815.0,2.0,3.0,Furnished,New,Owner,2023-11-04
MB101202,Kolkata,Salt Lake,2,1351.0,8401652.0,2.0,1.0,Semi-Furnished,Resale,Owner,2023-12-15
MB100403,Bangalore,Electronic City,2,824.0,8827742.0,1.0,3.0,Furnished,New,Owner,2023-02-05
MB101382,Bangalore,Electronic City,2,,,,,,,,2025-04-09
MB100600,Hyderabad,Gachibowli,2,793 sqft,8434485.0,2.0,3.0,Furnished,New,Broker,2023-11-04
MB101127,Delhi NCR,Ghaziabad,4,2371 sqft,31050140.0,3.0,1.0,Furnished,Resale,Broker,2023-06-18
MB101292,Ahmedabad,Maninagar,3,873.0,4265127.0,3.0,1.0,Furnished,New,Broker,2025-04-17
MB101489,Kolkata,Howrah,3,1583 sqft,9990898.0,2.0,2.0,Furnished,New,Broker,2024-03-12
MB100657,Bangalore,HSR Layout,3,1349 sqft,15873554.0,2.0,3.0,Furnished,Resale,Builder,2023-09-06
MB100534,Delhi NCR,Ghaziabad,3,1220.0,16652682.0,3.0,1.0,Furnished,New,Broker,2023-07-12
MB100875,Mumbai,Borivali,2,1135.0,26776778.0,2.0,1.0,Furnished,Resale,Builder,2024-11-20
MB100447,Pune,Wakad,3,1156.0,10173850.0,2.0,3.0,Furnished,Resale,Builder,2023-09-02
MB100260,Bangalore,Whitefield,2,719.0,8816643.0,2.0,2.0,Furnshd,New,Owner,2024-02-28
MB100628,Mumbai,Thane,1,585.0,13901366.0,1.0,1.0,Semi-Furnished,Resale,Broker,2024-02-10
MB101054,Jaipur,Malviya Nagar,3,1005 sqft,5817055.0,3.0,1.0,Furnished,New,Builder,2024-07-18
MB101016,Delhi NCR,Ghaziabad,2,1139.0,17390253.0,1.0,2.0,Furnshd,New,Broker,2025-07-20
MB101403,Delhi NCR,Rohini,2,1238.0,53465650.0,2.0,2.0,Unfurnished,New,Broker,2024-02-25
MB100681,Chennai,Adyar,2,843 sqft,8835971.0,2.0,2.0,Furnshd,Resale,Broker,2023-03-12
MB100730,Chennai,Chromepet,3,1369 sqft,13199397.0,3.0,1.0,Semi-Furnished,Resale,Builder,22/02/2023
MB101343,Lucknow,Gomti Nagar,3,1185.0,5712959.0,3.0,3.0,Unfurnished,Resale,Builder,2023-05-30
MB100191,Kolkata,Garia,1,606.0,5360561.0,1.0,0.0,Unfurnished,Resale,Owner,28/08/2023
MB100562,Mumbai,Powai,2,1464 sqft,40736139.0,2.0,2.0,Semi-Furnished,New,Owner,2024-12-19
MB100768,Bangalore,HSR Layout,4,1945 sqft,20088502.0,3.0,2.0,Unfurnished,New,Builder,2023-09-20
MB101108,Lucknow,Jankipuram,2,925 sqft,4611325.0,2.0,1.0,Furnished,Resale,Broker,15/07/2023
MB100559,Delhi NCR,Saket,3,1015.0,11671446.0,3.0,1.0,Semi-Furnished,New,Builder,2024-11-13
MB101253,Chennai,Adyar,2,872.0,6032491.0,2.0,2.0,Semi-Furnished,Resale,Builder,2025-07-16
MB101408,Mumbai,Borivali,3,1456.0,19714267.0,2.0,1.0,Semi-Furnished,New,Builder,30/03/2025
MB100431,Kolkata,Salt Lake,3,1150.0,7313963.0,3.0,3.0,Semi-Furnished,New,Broker,2024-08-08
MB100786,Ahmedabad,Maninagar,3,1584.0,11757499.0,4.0,1.0,Unfurnished,New,Broker,31/01/2024
MB101419,Mumbai,Thane,2,,,,,,,,01/08/2023
MB100530,Kolkata,Howrah,2,1060 sqft,8482166.0,2.0,1.0,Unfurnished,New,Owner,2025-06-12
MB100273,Pune,Viman Nagar,4,1809.0,17773925.0,3.0,1.0,Semi-Furnished,New,Broker,2024-09-29
MB101018,Jaipur,Jagatpura,3,1725.0,10378583.0,2.0,2.0,Semi-Furnished,New,Owner,2023-06-27
MB101135,Chennai,Chromepet,2,677 sqft,5154758.0,2.0,4.0,Semi-Furnished,New,Builder,2024-05-24
MB100903,Pune,Wakad,2,1295 sqft,14598342.0,2.0,2.0,Furnished,New,Owner,06/02/2023
MB101295,Ahmedabad,Maninagar,5,2512.0,11861959.0,3.0,2.0,Semi-Furnished,New,Broker,2023-03-11
MB100674,Mumbai,Goregaon,3,908 sqft,11537584.0,3.0,0.0,Furnished,New,Builder,07/12/2024
MB100043,Lucknow,Hazratganj,4,1640.0,7206429.0,3.0,3.0,Furnished,Resale,Builder,2025-04-02
MB100617,Hyderabad,Banjara Hills,3,785.0,9773301.0,2.0,0.0,Semi-Furnished,Resale,Broker,2023-11-18
MB100300,Chennai,Chromepet,3,1458.0,29795445.0,3.0,0.0,Furnished,New,Broker,2024-04-18
MB101444,Mumbai,Bandra,2,1061 sqft,18266953.0,1.0,3.0,Semi-Furn.,Resale,Owner,2025-03-27
MB101467,Jaipur,Vaishali Nagar,3,1142 sqft,3767074.0,4.0,3.0,Furnished,Resale,Owner,2023-03-23
MB100304,Hyderabad,Madhapur,1,575.0,5720471.0,1.0,2.0,Semi-Furnished,New,Owner,2024-11-04
MB100032,Pune,Kharadi,1,567.0,5397769.0,1.0,1.0,Furnished,New,Broker,2024-09-07
MB100042,Hyderabad,Madhapur,3,1083.0,7042400.0,2.0,2.0,Unfurnished,Resale,Builder,17/08/2023
MB100141,Ahmedabad,Thaltej,4,1048.0,6757183.0,,,Semi-Furnished,Resale,Owner,2024-07-14
MB100396,Jaipur,Malviya Nagar,3,1685.0,8499910.0,3.0,2.0,Furnished,New,Broker,19/01/2024
MB100994,Kolkata,Behala,4,1814.0,9403887.0,3.0,1.0,Unfurnished,New,Owner,2023-11-15
MB101150,Delhi NCR,Dwarka,2,1019.0,13989422.0,2.0,2.0,Unfurnished,Resale,Builder,29/01/2024
MB100201,Lucknow,Hazratganj,5,2189.0,11758491.0,3.0,1.0,Furnished,Resale,Builder,2025-06-05
MB101237,Hyderabad,Begumpet,2,476 sqft,3447377.0,3.0,1.0,Furnished,New,Broker,2023-08-13
MB100907,Jaipur,Ajmer Road,3,1675 sqft,6982032.0,3.0,2.0,Unfurnished,New,Builder,2023-08-06
MB101288,Lucknow,Jankipuram,2,1073.0,3943796.0,3.0,0.0,Semi-Furnished,Resale,Owner,2025-04-27
MB100336,Mumbai,Thane,2,724 sqft,20054071.0,2.0,2.0,Furnished,New,Owner,2024-11-02
MB100906,Mumbai,Thane,2,1276.0,30959722.0,2.0,2.0,Unfurnished,New,Broker,2025-08-11
MB101266,Delhi NCR,Rohini,3,1650.0,21237430.0,3.0,3.0,Semi-Furnished,Resale,Builder,2024-08-15
MB100224,Kolkata,Behala,3,1562 sqft,12233227.0,4.0,3.0,Furnished,New,Owner,12/01/2025
MB101369,Kolkata,Salt Lake,3,1243.0,7795244.0,3.0,2.0,Semi-Furnished,New,Broker,11/11/2023
MB101293,Bangalore,Indiranagar,3,1346.0,14766649.0,,,Semi-Furnished,New,Owner,2024-10-20
MB101401,Bangalore,HSR Layout,3,777 sqft,8742833.0,3.0,0.0,Semi-Furnished,New,Owner,2024-05-07
MB100386,Lucknow,Gomti Nagar,3,1377 sqft,6835075.0,3.0,0.0,Semi-Furnished,New,Builder,2023-05-31
MB101203,Hyderabad,Kukatpally,2,1357.0,10184555.0,3.0,3.0,Semi-Furn.,Resale,Owner,2024-01-14
MB100542,Mumbai,Borivali,3,1234.0,20091184.0,3.0,1.0,Furnished,New,Broker,2023-07-22
MB101006,Bangalore,Koramangala,1,397.0,4799844.0,1.0,2.0,Unfurnished,New,Broker,2023-01-31
MB101081,Bangalore,HSR Layout,3,1615.0,24348081.0,2.0,2.0,Unfurnished,Resale,Builder,2023-07-06
MB100287,Pune,Baner,1,587 sqft,5410156.0,1.0,4.0,Furnished,Resale,Owner,2024-03-22
MB100480,Bangalore,Electronic City,3,1106.0,15026498.0,3.0,2.0,Furnished,New,Broker,2025-02-23
MB100502,Mumbai,Andheri,2,1214.0,22298142.0,2.0,3.0,Semi-Furnished,New,Broker,2024-02-12
MB100935,Pune,Wakad,2,824 sqft,9011974.0,2.0,1.0,Unfurnished,New,Owner,2024-06-05
MB101437,Ahmedabad,Maninagar,2,688.0,4726679.0,2.0,3.0,Unfurnished,New,Broker,2024-07-01
MB100671,Mumbai,Bandra,4,2009 sqft,49467458.0,3.0,1.0,Semi-Furnished,New,Builder,23/01/2025
MB101258,Pune,Hinjewadi,1,644 sqft,5663453.0,1.0,2.0,Semi-Furnished,Resale,Builder,2025-05-01
MB101432,Mumbai,Goregaon,3,,,,,,,,2025-02-27
MB101244,Pune,Viman Nagar,2,819.0,8177855.0,2.0,0.0,Unfurnished,New,Builder,2024-03-29
MB101240,Bangalore,Yelahanka,2,950.0,11703647.0,1.0,3.0,Furnished,Resale,Builder,2024-05-28
MB101273,Delhi Ncr,Noida,4,2087 sqft,25174902.0,3.0,2.0,Unfurnished,New,Owner,2024-05-01
MB100758,Bangalore,Yelahanka,2,958 sqft,9397757.0,2.0,2.0,Semi-Furnished,New,Owner,2023-12-08
MB100569,Chennai,Adyar,3,1639.0,11523389.0,3.0,2.0,Furnished,New,Owner,2025-02-04
MB100769,Hyderabad,Madhapur,3,1580.0,16040892.0,4.0,2.0,Semi-Furnished,Resale,Builder,28/07/2023
MB100014,Delhi NCR,Saket,4,1217 sqft,13451287.0,3.0,1.0,Semi-Furnished,New,Broker,2023-06-05
MB100126,Ahmedabad,Maninagar,2,716.0,3772027.0,2.0,0.0,Semi-Furnished,Resale,Broker,2025-01-14
MB100624,Delhi NCR,Dwarka,2,1120 sqft,38692077.0,3.0,2.0,Semi-Furnished,Resale,Builder,23/05/2025
MB100172,Bangalore,Indiranagar,3,405.0,4751157.0,3.0,1.0,Semi-Furn.,Resale,Owner,2023-11-16
MB101073,Pune,Kharadi,5,2431.0,18839610.0,2.0,1.0,Unfurnished,New,Builder,2023-06-23
MB100988,Hyderabad,Gachibowli,3,896 sqft,4668571.0,2.0,3.0,Unfurnished,Resale,Broker,2023-10-26
MB101141,Pune,Viman Nagar,2,1339.0,8089074.0,2.0,1.0,Unfurnished,New,Broker,12/07/2023
MB100998,Lucknow,Hazratganj,3,1277 sqft,8616322.0,,,,Resale,Owner,2025-02-07
MB101254,Delhi NCR,Noida,3,1266.0,19585559.0,4.0,1.0,Semi-Furnished,Resale,Builder,2025-08-06
MB101367,Kolkata,Rajarhat,2,1019.0,6584157.0,1.0,1.0,Unfurnished,Resale,Builder,2025-07-31
MB101230,Hyderabad,Banjara Hills,1,570.0,5975426.0,1.0,1.0,Unfurnished,Resale,Broker,2025-02-18
MB100515,Kolkata,Howrah,3,1613 sqft,12064178.0,2.0,2.0,Unfurn.,New,Owner,2024-11-24
MB100958,Pune,Viman Nagar,1,499.0,4464162.0,1.0,3.0,Furnished,Resale,Broker,2023-06-02
MB101235,Pune,Baner,2,873.0,6626643.0,2.0,2.0,Unfurnished,Resale,Broker,2024-02-20
MB101449,Ahmedabad,Gota,5,1639.0,10045410.0,4.0,1.0,Semi-Furnished,Resale,Builder,13/06/2024
MB101010,Chennai,Adyar,4,1416 sqft,13904025.0,3.0,3.0,Unfurnished,New,Broker,2023-11-22
MB101361,Hyderabad,Gachibowli,1,446.0,4610984.0,1.0,2.0,Unfurnished,Resale,Builder,20/11/2023
MB101407,Mumbai,Powai,3,1268 sqft,29536608.0,3.0,2.0,Unfurn.,Resale,Owner,2024-03-13
MB100160,Jaipur,Malviya Nagar,1,562 sqft,3389038.0,1.0,3.0,Furnished,Resale,Builder,2024-10-27
MB100131,Kolkata,Behala,1,736 sqft,4438410.0,1.0,1.0,Furnished,Resale,Owner,2023-02-22
MB101050,Lucknow,Gomti Nagar,1,401 sqft,1947909.0,1.0,2.0,Furnished,Resale,Builder,2024-03-19
MB101423,Kolkata,Rajarhat,2,953 sqft,6399771.0,1.0,2.0,Unfurnished,Resale,Broker,2024-04-01
MB100828,Lucknow,Aliganj,3,1346 sqft,7201270.0,3.0,1.0,Semi-Furnished,Resale,Broker,2023-09-07
MB100818,Mumbai,Bandra,2,842.0,18757375.0,,,Semi-Furnished,New,Builder,2023-11-16
MB100523,Chennai,Adyar,2,1249.0,10187339.0,3.0,3.0,Furnished,Resale,Owner,05/09/2023
MB100062,Mumbai,Bandra,3,869.0,23287331.0,4.0,1.0,Furnished,New,Broker,2024-09-25
MB100947,Bangalore,Yelahanka,3,1835.0,20831273.0,2.0,3.0,Furnished,New,Builder,2024-04-14
MB100962,Chennai,Adyar,3,1209.0,9254193.0,2.0,2.0,Semi-Furnished,New,Owner,2024-03-22
MB100718,Kolkata,Garia,1,628.0,4551312.0,1.0,3.0,Unfurnished,New,Owner,2024-08-30
MB100835,Kolkata,Salt Lake,2,664.0,3946768.0,3.0,1.0,Unfurnished,New,Builder,2024-11-14
MB100044,Pune,Hinjewadi,3,1473.0,13215383.0,,,Unfurnished,Resale,Broker,2025-01-18
MB100412,Chennai,Chromepet,2,835.0,7048440.0,2.0,2.0,Unfurnished,Resale,Builder,18/04/2023
MB100847,Hyderabad,Kondapur,1,622.0,5009125.0,1.0,2.0,Unfurnished,New,Owner,23/07/2024
MB100182,Lucknow,Gomti Nagar,3,1564.0,18413902.0,3.0,3.0,Semi Furnished,Resale,Broker,04/01/2023
MB100619,Mumbai,Bandra,2,369 sqft,7220483.0,2.0,0.0,Semi-Furnished,New,Builder,2023-05-30
MB101042,Chennai,Adyar,3,1066.0,4623349.0,3.0,1.0,Unfurnished,Resale,Broker,2025-07-10
MB100028,Kolkata,Howrah,2,947.0,6407578.0,3.0,1.0,Semi-Furnished,Resale,Owner,2024-12-08
MB101455,Ahmedabad,Thaltej,3,838.0,5488810.0,2.0,1.0,Unfurnished,New,Owner,2024-11-12
MB100997,Delhi NCR,Ghaziabad,3,1029.0,13860753.0,4.0,3.0,Unfurn.,New,Owner,2023-07-17
MB101113,Delhi NCR,Saket,5,1626.0,19643099.0,2.0,2.0,Semi-Furnished,Resale,Builder,2024-06-03
MB100119,Delhi NCR,Saket,2,1026 sqft,11602373.0,2.0,2.0,Furnished,Resale,Owner,16/08/2025
MB100285,Mumbai,Borivali,1,558 sqft,12763613.0,2.0,2.0,Furnished,Resale,Builder,2025-03-02
MB100802,Mumbai,Andheri,1,641.0,12472341.0,1.0,3.0,Furnished,New,Owner,2024-04-10
MB100896,Delhi NCR,Gurgaon,3,1820.0,25147603.0,2.0,1.0,Furnished,New,Builder,2024-11-28
MB100500,Pune,Kharadi,3,1980.0,19099044.0,4.0,1.0,Furnished,New,Builder,2024-08-01
MB100859,Pune,Kharadi,4,1508.0,16381534.0,3.0,1.0,Furnished,Resale,Builder,2023-12-30
MB100210,Kolkata,Rajarhat,1,699.0,6005216.0,2.0,2.0,Semi-Furnished,Resale,Broker,2024-11-14
MB100653,Hyderabad,Madhapur,2,1018.0,7158520.0,2.0,1.0,Unfurnished,New,Broker,2025-02-13
MB100685,Kolkata,Rajarhat,1,685.0,4089095.0,1.0,2.0,Unfurnished,Resale,Broker,2024-03-08
MB100107,Mumbai,Bandra,2,957.0,15306691.0,2.0,0.0,Unfurnished,Resale,Owner,2024-01-21
MB100664,Hyderabad,Madhapur,4,1999.0,17483087.0,3.0,1.0,Semi-Furnished,Resale,Builder,2023-10-13
MB100006,Bangalore,Indiranagar,2,1110.0,13736545.0,2.0,2.0,Semi-Furnished,New,Builder,01/05/2023
MB101315,Mumbai,Andheri,2,715.0,16722815.0,2.0,2.0,Furnished,Resale,Owner,2024-08-08
MB101416,Lucknow,Jankipuram,3,1322.0,7115271.0,3.0,1.0,Furnished,New,Owner,2023-02-27
MB100781,Hyderabad,Begumpet,4,1144.0,10679527.0,3.0,1.0,Furnished,New,Broker,2023-02-08
MB100146,Chennai,Chromepet,4,1820.0,15529278.0,3.0,2.0,Semi-Furnished,New,Builder,2024-05-30
MB101045,Kolkata,Salt Lake,5,1683 sqft,12227900.0,3.0,2.0,Unfurnished,New,Owner,2023-08-02
MB100637,Delhi NCR,Noida,2,769.0,7868379.0,2.0,1.0,Furnished,New,Owner,2024-09-07
MB100792,Kolkata,Behala,1,623 sqft,4093700.0,,,,Resale,Builder,17/01/2023
MB100662,Kolkata,Rajarhat,2,1463.0,7262555.0,2.0,0.0,Unfurnished,New,Owner,2023-09-15
MB101162,Ahmedabad,SG Highway,1,640 sqft,1987167.0,1.0,3.0,Furnished,New,Broker,2024-05-30
MB100233,Bangalore,Whitefield,4,2464.0,25272630.0,4.0,3.0,Unfurnished,Resale,Builder,
MB100012,Pune,Kothrud,1,829.0,7774453.0,1.0,1.0,Unfurnished,Resale,Builder,2024-05-21
MB100129,Pune,Baner,2,640.0,5614603.0,1.0,1.0,Furnished,Resale,Broker,2024-01-17
MB101096,Bangalore,Whitefield,2,1121.0,10952529.0,,,,New,Owner,
MB101043,Hyderabad,Begumpet,3,903.0,7453935.0,3.0,1.0,Semi-Furnished,Resale,Builder,25/07/2025
MB100756,Ahmedabad,Thaltej,2,873.0,4676870.0,2.0,1.0,Furnished,Resale,Owner,17/08/2024
MB100152,Bangalore,HSR Layout,3,911.0,7752953.0,3.0,1.0,Unfurnished,New,Builder,2024-12-18
MB100282,Pune,Wakad,1,591.0,5669768.0,1.0,2.0,Semi-Furnished,Resale,Broker,2023-09-25
MB101465,Delhi NCR,Rohini,1,866.0,8192072.0,2.0,2.0,Furnished,New,Broker,2025-08-13
MB100063,Delhi NCR,Saket,4,1735.0,44803547.0,3.0,3.0,Furnished,Resale,Builder,2024-06-14
MB101391,Pune,Kothrud,3,,14366173.0,,,,New,,2024-02-15
MB100208,Ahmedabad,SG Highway,2,1504.0,9658335.0,2.0,1.0,Semi-Furnished,New,Broker,2024-11-10
MB101346,Hyderabad,Banjara Hills,3,1465.0,12975365.0,3.0,3.0,Semi-Furnished,New,Broker,2024-08-03
MB101035,Mumbai,Powai,3,1794.0,38571773.0,4.0,2.0,Furnished,Resale,Owner,2025-05-27
MB101357,Ahmedabad,Gota,4,1920.0,12452560.0,3.0,1.0,Semi-Furnished,New,Builder,2025-06-22
MB101297,Chennai,Tambaram,2,790.0,7468429.0,2.0,1.0,Unfurnished,New,Owner,04/04/2023
MB100158,Lucknow,Gomti Nagar,1,747.0,4517863.0,1.0,3.0,Furnished,Resale,Broker,2023-10-13
MB100261,Pune,Viman Nagar,3,1377.0,14065569.0,4.0,1.0,Unfurnished,Resale,Builder,2023-06-28
MB101065,Kolkata,Howrah,3,1548.0,9120538.0,3.0,1.0,Furnished,Resale,Owner,2024-03-29
MB100659,Pune,Wakad,1,399.0,3420549.0,1.0,0.0,Furnished,New,Builder,2025-01-20
MB100960,Pune,Kharadi,4,1948.0,19722060.0,2.0,1.0,Furnished,New,Builder,2025-04-19
MB100144,Lucknow,Hazratganj,3,1897.0,11551313.0,4.0,2.0,Furnished,Resale,Broker,2024-02-28
MB101026,Hyderabad,Begumpet,2,1174 sqft,12333471.0,2.0,1.0,Unfurn.,New,Owner,2025-06-02
MB100886,Delhi NCR,Saket,2,1169 sqft,13181089.0,2.0,2.0,Unfurnished,New,Builder,25/02/2023
MB100076,Hyderabad,Gachibowli,3,,7542228.0,,,,Resale,,2024-12-21
MB100472,Jaipur,Jagatpura,3,1673.0,9204989.0,3.0,3.0,Semi-Furnished,Resale,Owner,2025-08-04
MB100950,Delhi NCR,Rohini,3,1927 sqft,20260422.0,3.0,3.0,Semi-Furn.,New,Broker,2025-08-29
MB100853,Delhi NCR,Ghaziabad,4,1372.0,21120577.0,3.0,1.0,Semi-Furnished,New,Broker,2024-04-09
MB100799,Bangalore,Indiranagar,2,1304.0,11995696.0,2.0,1.0,Furnished,New,Broker,2025-06-30
MB100389,Pune,Wakad,2,743.0,8108138.0,2.0,2.0,Unfurnished,New,Builder,2024-02-09
MB100266,Mumbai,Andheri,3,1137.0,13473120.0,3.0,3.0,Semi-Furnished,Resale,Builder,2023-02-23
MB100587,Chennai,Chromepet,3,1269.0,12840636.0,3.0,1.0,Unfurnished,Resale,Broker,07/05/2024
MB100363,Mumbai,Borivali,4,1939.0,21242943.0,2.0,1.0,Furnished,New,Broker,2025-06-11
MB101371,Jaipur,Ajmer Road,5,1625.0,9301783.0,4.0,0.0,Unfurnished,New,Builder,2025-01-21
MB100214,Mumbai,Borivali,2,873.0,26801162.0,2.0,1.0,Furnished,Resale,Owner,2025-04-20
MB101066,Delhi NCR,Gurgaon,3,1583.0,16167116.0,,,Unfurnished,Resale,Owner,2023-11-24
